1;GastronomicRoute;Ruta de los Quesos Artesanales;4;5;;;45000;12345678-5;Carlos;Muñoz;Av. Costanera;123;Llanquihue;Región de Los Lagos;Guía Turístico;850000;es;en;15
2;GastronomicRoute;Ruta de la Cerveza Artesanal;3;8;;;35000;23456789-6;María;González;Pedro Montt;456;Puerto Varas;Región de Los Lagos;Guía Turístico Senior;1200000;es;fr;20
3;LakeCruise;Navegación Lago Todos los Santos;6;;Catamarán;;65000;34567890-5;Pedro;Soto;Ruta 5 Sur;Km 950;Frutillar;Región de Los Lagos;Conductor Turístico;720000;es;pt;40
4;LakeCruise;Travesía por el Canal de Chacao;5;;Lancha;;55000;11111111-1;Ana;Martínez;San Francisco;234;Puerto Montt;Región de Los Lagos;Guía Turístico;900000;es;de;30
5;CulturalExcursion;Visita Iglesia de Achao;3;;;Iglesia de Achao;35000;15432876-9;John;Smith;O'Higgins;567;Calbuco;Región de Los Lagos;Guía Internacional;1500000;en;es;25
6;CulturalExcursion;Recorrido por el Fuerte de Niebla;4;;;Fuerte de Niebla;40000;18765432-7;Luis;Fernández;Arturo Prat;789;Ancud;Región de Los Lagos;Guía de Montaña;600000;es;en;25
7;GastronomicRoute;La ruta del boqueron;10.0;36;;;1890000.0;20214256-7;Victor Valdivia;Valdivia;Los Lingues;;;;;1900000.0;es;;12
8;CulturalExcursion;Descubriendo Valdivia;4.0;;;El puente de los enamorados;70000.0;20214256-7;Victor Valdivia;Valdivia;Los Lingues;;;;;1400000.0;es;en;20
9;CulturalExcursion;Servicio 1;4.0;;;Lugar 1;10000.0;20214256-7;Victor;Valdivi;Calle 123;;;;;1.231231231E9;es;en;10
10;LakeCruise;dsfsdf;23.0;;sdfsdf;;32423.0;20214256-7;dfsadfsa;sdfsdf;sdfdsf;;;;;2.34234234E8;es;fr;23
